Model,Model Slug,Creator,License,"Context
 Window",Access Date on AA,"Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,IFBench,LCR,Terminal-Bench Hard,___-Bench Telecom,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 49,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,gpqa_epochs,cache_read_gpqa,cache_output_gpqa,gpqa_reasoning_tokens,gpqa_reasoning_in_output,total_tokens_?,Notes GPQA,inspect log,input tokens swe,output tokens swe,cache reads swe,cache write swe,cache_in_input,cache_in_output,reasoning swe,reasoning_in_output_swe,total,epoch_swe,swe_inspect_log,notes swe,Unnamed: 74,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,cache_read_cost,cache_write_cost,Notes.1,input tokens AIME,output tokens AIME,AIME_reasoning,reasoning_in_output,AIME_epochs,epoch_8_input,epoch_8_output,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,model_graded_AIME,oneshot_AIME,grader_tokens_input,grader_tokens_output,notes,Inspect Log,HAL/GAIA Generalist Agent,HAL/GAIA Deep Research Scaffold,Unnamed: 105,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
GPT-4.1 04/01/2025,,,Proprietary,1m,,53,81%,67%,5%,46%,38%,,91%,44%,,,,,,,,119.4,42.5,61.0,136.8,151.7,0.43,0.43,0.36,0.39,0.48,0.63,4.62,0.0,,ModelProviders,04/01/2025,,,,,,,,412808.0,1226011.0,66.90%,8.0,8448,,,,,,,302925427.0,1360306.0,201752960.0,0.0,True,True,,,304285733.0,41.00%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FQ6UB2pBAwruHWXCNQvKGVv.eval,,,103558.0,32859.0,45440.0,,,0.5,0.0,,65376,1342210,,,8.0,65376,1342210,,,,38.30%,,38.30%,1514216,1164.0,gemini 2.0flash,,28.48%,,,2.0,8.0,1.329213,3.5
Claude 4 Sonnet 05/01/2025,,Anthropic,Proprietary,200k,,,83.70%,68.30%,4.00%,44.90%,37.30%,,93.40%,,,,,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,,,58506.0,136882.0,66.70%,1.0,,,,,,,,115000.0,4580000.0,461000000.0,18600000.0,False,False,,,,60.60%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FBL9e5eBaVdxVcws6qPwrdh.eval,,,,,,,,0.3,3.75,,9053,61750,,,8.0,9053,61750,,,,28.90%,,28.90%,,,,,,,,3.0,15.0,2.228748,6.0
Gemini 2.5 Pro Preview (May' 25) 05/01/2025,,Google,Proprietary,1m,,,83.70%,82.20%,15.40%,77.00%,41.60%,,98.60%,,,,,,,,,,,,,,,,,,,,,,,,05/01/2025,,,,,False,was not preview when context recorded,,50323.0,296929.0,66.70%,1.0,,,,,,,,,,,,,,,,,,,,,122029.0,38823.0,,,30%,,,,,,,,,,,,,,,,,,,,,,,,1.25,10.0,3.03219375,3.4375
Gemini 2.5 Pro Preview 05/01/2025,,,Proprietary,1m,,68,86%,84%,17%,70%,40%,,98%,87%,,,,,,,,207.5,189.6,195.5,212.4,224.2,28.58,28.58,14.13,22.47,30.89,35.19,30.99,0.0,,ModelProviders,05/01/2025,,,,,,,,50323.0,296929.0,66.70%,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,10.0,3.03219375,3.4375
DeepSeek R1 01/01/2025,,,Open,128k,,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,01/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7889,485437,,,8.0,7889,485437,,,,53.30%,,53.30%,79224,132.0,doesn't mention sample number,,,,,2.0,2.5,4.029034125,2.125
DeepSeek R1 03/01/2025,,,Open,128k,,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,03/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7889,485437,,,8.0,7889,485437,,,,53.30%,,53.30%,79224,132.0,doesn't mention sample number,,,,,0.55,2.19,3.4705262775000003,0.96
DeepSeek R1 10/01/2025,,,Open,128k,,60,84%,71%,9%,62%,36%,94%,97%,68%,,,,,,,,23.0,21.8,22.4,30.3,36,3.25,105.36,2.61,2.97,4.33,8.35,127.11,102.1,True,ModelProviders,10/01/2025,635.0,37.0,,,True,,,392064.0,12579258.0,66.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7889,485437,,,8.0,7889,485437,,,,53.30%,,53.30%,79224,132.0,doesn't mention sample number,,,,,0.7,2.0,3.1791201,1.025
Claude 3.7 Sonnet 04/01/2025,,,Proprietary,200k,,48,80%,66%,5%,39%,38%,96%,85%,22%,,,,,,,,76.0,49.3,66.8,78.9,81.6,1.12,1.12,0.72,0.89,1.48,2.54,7.7,0.0,,ModelProviders,04/01/2025,,,,,,epoch does notdistinguish claude thinking vs not,,468048.0,927915.0,66.00%,8.0,,,,,,,,77585.0,3125503.0,330964674.0,15537148.0,False,False,,,,52.20%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FMCv2wDLoTzqMRrN8dATPEv.eval,,,,,,,,0.3,3.75,,144848,1050431,,,16.0,72424,525215.5,,21.90%,51.10%,,,21.90%,1059207,2564.0,,,,,,2.0,8.0,1.044927,3.5
GPT-4.1 mini 04/01/2025,,,Proprietary,1m,,53,78%,66%,5%,48%,40%,99%,93%,43%,,,,,,,,168.5,78.9,109.2,224.1,263,0.42,0.42,0.28,0.36,0.53,0.68,3.39,0.0,,ModelProviders,04/01/2025,,,,,,,,412872.0,1564579.0,65.80%,8.0,8448,,,,,epoch speciifies 2025-o4-14,,196000000.0,1490000.0,107000000.0,0.0,True,True,,,,32.80%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FdD8n3SgLkV3Xse6bbG8mMB.eval,,,50028.0,29713.0,25600.0,,10%,0.1,0.0,,65376,1774741,,,8.0,65376,1774741,,,,44.70%,,44.70%,2005707,1118.0,epoch switched from aime16 to not aime,,,,,0.4,1.6,0.33355939999999995,0.7000000000000001
Gemini 2.0 Flash 02/01/2025,,,Proprietary,1m,,48,78%,62%,5%,33%,31%,95%,93%,33%,,,,,,,,242.0,228.9,236.0,255.8,267.4,0.33,0.33,0.26,0.3,0.38,0.41,2.4,0.0,,ModelProviders,02/01/2025,,,,,,,,806400.0,1940000.0,64.10%,16.0,,,,,,,,234994473.0,1407067.0,0.0,0.0,,,,,241401540.0,22.00%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fne2Anciuxh2k3VXGYG4Nqy.eval,,,,,,,,0.0,0.0,,131472,1186729,,,16.0,65736,593364.5,,31.10%,51.10%,,,31.10%,,,,,,,,0.1,0.4,0.053540000000000004,0.17500000000000002
o1-mini (Option 2) (high) 09/01/2024,,,Proprietary,128k,,54,74%,60%,5%,58%,32%,69%,94%,60%,83%,1308.0,,,,,,214.4,95.3,188.1,227.3,241.2,9.97,9.97,2.29,8.25,11.5,14.52,12.3,0.0,,ModelProviders,09/01/2024,,,,,,epoch has multiple o1 minis,,429856.0,2973549.0,62.40%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,4.4,1.6945571500000003,1.9250000000000003
Claude 4.5 Haiku (Non-reasoning) 10/01/2025,claude-4-5-haiku,Anthropic,Proprietary,,10/25/25,41.7,0.511,0.646,0.043,0.511,0.344,,,,,,0.42,0.437,0.255,0.325,,100.607,,,,,,,,,,,,,,,10/01/2025,,,,,,,,468048.0,1132792.0,60.50%,8.0,,,,,,,,5870000.0,5040000.0,465000000.0,19200000.0,False,False,,,,60.60%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FNNRfKgR23F8kXjFh8jin8g.eval,no reasoning token correspond to no reasoning model,,,,,,,0.1,1.25,,72424,453319,,,8.0,72424,453319,,,,35.80%,,35.80%,984170,2262.0,2.0flash,,,,,1.0,5.0,0.7665010000000001,2.0
o1-mini 09/01/2024,,,Proprietary,128k,,54,74%,60%,5%,58%,32%,69%,94%,60%,83%,1308.0,,,,,,214.4,95.3,188.1,227.3,241.2,9.97,9.97,2.29,8.25,11.5,14.52,12.3,0.0,,ModelProviders,09/01/2024,,,,,,epoch has multiple o1 minis,,859744.0,5597033.0,59.50%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67488,3174720,,,8.0,67488,3174720,,,,44.70%,,44.70%,250037,1118.0,this is the medium performance here,,,,,1.1,4.4,1.5982914750000001,1.9250000000000003
Mistral Medium 04/01/2024,,,Proprietary,33k,,23,49%,35%,3%,10%,12%,1%,41%,4%,,1148.0,,,,,,40.2,3.9,38.5,41.6,42.7,0.46,0.46,0.34,0.39,0.61,1.66,12.9,0.0,,ModelProviders,04/01/2024,,,,,,,,410584.0,1048526.0,59.50%,8.0,,,,,,epoch says medium-2505 same as medium?,,,,,,,,,,,,,,,,,,,,,,,66792,1431545,,,8.0,,,,,,32.20%,,32.20%,1523997,1208.0,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FQWw65xeTn8x42SymMsVREN.eval,,,,2.7,8.1,1.200204675,4.050000000000001
Gemini 1.5 Pro (Sep) 11/01/2024,,,Proprietary,2m,,45,75%,59%,5%,32%,30%,74%,88%,23%,85%,1301.0,,,,,,92.9,87.9,90.5,97.2,103.7,0.66,0.66,0.45,0.54,0.87,1.96,6.04,0.0,,ModelProviders,11/01/2024,,,,,,,,809504.0,1379537.0,57.22%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F9TrLEEw8TvsyugyCjwvUvD.eval,,,,,,,,,,,,,,,,,,,,,,131472,584898,,,16.0,65736,292449,,23.00%,46.70%,,,23.00%,128877,2548.0,assum 002 is second september one,,,,,1.25,5.0,0.4943478125,2.1875
DeepSeek V3 (Dec '24) 01/01/2025,,,Open,128k,,46,75%,56%,4%,36%,35%,,89%,25%,86%,,,,,,,24.5,23.2,23.8,28.3,32,3.24,3.24,2.91,3.11,3.47,4.27,23.68,0.0,,ModelProviders,01/01/2025,671.0,37.0,,,True,,,784176.0,1983134.0,56.50%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126224,1299246,,,16.0,63112,649623,,15.80%,33.30%,,,15.80%,1517509,2652.0,measured feb 25 so before march deepseek ?,,,,,0.25,0.25,0.04323921875,0.25
Phi-4 01/01/2025,,,Open,16k,,40,71%,57%,4%,23%,26%,91%,81%,14%,,,,,,,,42.0,36.6,39.0,44.4,45.5,0.47,0.47,0.41,0.44,0.66,1.96,12.37,0.0,,ModelProviders,01/01/2025,14.0,,0.44,113.0,False,,,838784.0,2106559.0,56.10%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131184,831522,,,16.0,65592,415761,,13.80%,37.80%,,,13.80%,968102,2682.0,1.5flash,,,,,0.07,0.14,0.02210207125,0.08750000000000001
DeepSeek R1 Distill Llama 70B 02/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,02/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.75,0.99,2.00080917,0.81
DeepSeek R1 Distill Llama 70B 03/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,03/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.72,0.99,1.99926036,0.7875000000000001
DeepSeek R1 Distill Llama 70B 04/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,04/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.54,0.87,1.75213854,0.6225
DeepSeek R1 Distill Llama 70B 07/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,07/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.7,0.8,1.6216653000000003,0.7249999999999999
DeepSeek R1 Distill Llama 70B 10/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,10/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.5,0.8,1.6113399000000002,0.575
Claude 3.5 Sonnet (Oct) 10/01/2024,,,Proprietary,200k,,44,77%,60%,4%,38%,37%,68%,77%,16%,88%,1282.0,,,,,,77.8,66.2,70.8,81.2,82.7,1.0,1.0,0.66,0.76,1.4,3.84,7.43,0.0,,ModelProviders,10/01/2024,,,,,,,,936096.0,1117486.0,55.30%,16.0,,,,,,,,36370.0,1390000.0,99600000.0,9900000.0,False,False,,,,40.60%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FGUbGX7GABSbhxMXiYC5NFr.eval,,,,,,,,0.3,3.75,assume same price ,144848,413730,,,16.0,72424,206865,,8.50%,31.10%,,,8.50%,469110,2758.0,,,,,,3.0,15.0,1.223161125,6.0
Kimi K2 07/01/2025,,Moonshot AI,Open,,,4860.00%,82.40%,76.60%,7.00%,55.60%,17.50%,,97.10%,,,,,,,,,,,,,,,,,,,,,,,,07/01/2025,,,,,,,,431696.0,2397106.0,54.60%,8.0,,,,,,not in newest gpqa dataset?,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fcc9xuQC7QDp2VjwnqGWmn9.eval,301000000.0,2980000.0,0.0,0.0,,,,,,16.40%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FKKdaasPdbUXmehYK7QNLyc.eval,,,,,,,,0.0,0.0,,68120,693591,,,8.0,68120,693591,,,,33.10%,,33.10%,788358,1202.0,gemini 2.0flash,,75.44%,,,0.57,2.3,0.7199263149999999,1.0025
Kimi K2 09/01/2025,,Moonshot AI,Open,,,4860.00%,82.40%,76.60%,7.00%,55.60%,17.50%,,97.10%,,,,,,,,,,,,,,,,,,,,,,,,09/01/2025,,,,,,,,431696.0,2397106.0,54.60%,8.0,,,,,,not in newest gpqa dataset?,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fcc9xuQC7QDp2VjwnqGWmn9.eval,301000000.0,2980000.0,0.0,0.0,,,,,,16.40%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FKKdaasPdbUXmehYK7QNLyc.eval,,,,,,,,0.0,0.0,,68120,693591,,,8.0,68120,693591,,,,33.10%,,33.10%,788358,1202.0,gemini 2.0flash,,75.44%,,,0.5,2.0,0.6262575,0.875
Claude 3.5 Sonnet (June) 11/01/2024,,,Proprietary,200k,,,75%,56%,4%,,32%,87%,70%,10%,,1268.0,,,,,,79.4,67.5,76.3,80.8,83.7,0.69,0.69,0.54,0.62,0.92,1.95,6.98,0.0,,ModelProviders,11/01/2024,,,,,,,,936096.0,1332402.0,54.00%,16.0,,,,,,,,34055.0,1940000.0,90200000.0,10100000.0,False,False,,,102000000.0,32%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FH2sQhavY5BPYxyYHva8mgS.eval,,,,,,,,0.3,3.7,assume no chnage in price,144848,398664,,,16.0,72424,199332,,6.50%,31.10%,,,6.50%,459917,2786.0,1.5flash,,,,,3.0,15.0,1.424644875,6.0
Llama 4 Scout 04/01/2025,,,Open,10m,,43,75%,59%,4%,30%,17%,,84%,28%,,,,,,,,125.0,39.0,103.7,604.7,"2,589.00",0.39,0.39,0.22,0.3,0.53,0.8,4.39,0.0,,ModelProviders,04/01/2025,109.0,17.0,,,False,,,400432.0,1485981.0,51.80%,8.0,,,,,,assuming this is scout 17B 16E instruct,,,,,,,,,,,,,,,,,,,,,,,64936,518906,,,8.0,64936,518906,,,,7.80%,,7.80%,600534,1384.0,"2.0flash, I assume this is same as llama 4 Scout 17B 16E",https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FT3X5DeC47iqCaoRYXu5k8L.eval,,,,0.1,0.3,0.0607296875,0.15000000000000002
Llama 4 Scout 06/01/2025,,,Open,10m,,43,75%,59%,4%,30%,17%,,84%,28%,,,,,,,,125.0,39.0,103.7,604.7,"2,589.00",0.39,0.39,0.22,0.3,0.53,0.8,4.39,0.0,,ModelProviders,06/01/2025,109.0,17.0,,,False,,,400432.0,1485981.0,51.80%,8.0,,,,,,assuming this is scout 17B 16E instruct,,,,,,,,,,,,,,,,,,,,,,,64936,518906,,,8.0,64936,518906,,,,7.80%,,7.80%,600534,1384.0,"2.0flash, I assume this is same as llama 4 Scout 17B 16E",https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FT3X5DeC47iqCaoRYXu5k8L.eval,,,,0.08,0.1,0.0225790825,0.08499999999999999
Llama 3.1 405B 07/01/2024,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,07/01/2024,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,2.7,2.7,0.4900132125000001,2.7
Llama 3.1 405B 09/01/2024,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,09/01/2024,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,1.79,1.79,0.32486061125,1.79
Llama 3.1 405B 11/01/2024,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,11/01/2024,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,1.0,1.79,0.27908169125000004,1.1975
Llama 3.1 405B 12/01/2024,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,12/01/2024,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,0.9,0.9,0.1633377375,0.9
Llama 3.1 405B 04/01/2025,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,04/01/2025,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,0.8,0.8,0.14518910000000002,0.8
o1-preview 09/01/2024,,,Proprietary,128k,,,,,,,,84%,92%,,86%,1334.0,,,,,,156.3,74.4,129.2,166,176.5,21.97,21.97,12.2,15.14,25.99,36.66,25.17,0.0,,ModelProviders,09/01/2024,,,,,,,,859696.0,9599382.0,50.32%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8309,373692,,,8.0,8309,373692,,,,31.10%,,31.10%,45374,152.0,flash2.0,,19.39%,,,15.0,60.0,36.803647500000004,26.25
GPT-4o (Aug '24) 08/01/2024,,,Proprietary,128k,,,,52%,3%,32%,,42%,80%,12%,87%,1337.0,,,,,,101.2,59.7,78.5,115.3,138.3,0.58,0.58,0.4,0.53,0.65,0.94,5.52,0.0,,ModelProviders,08/01/2024,,,,,,,,825712.0,1860842.0,49.21%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130752,588166,,,16.0,65376,294083,,6.40%,26.70%,,,6.40%,689674,2788.0,,,,,,2.5,10.0,1.29204375,4.375
Qwen2.5 72B 10/01/2024,,,Open,131k,,40,72%,49%,4%,28%,27%,74%,86%,16%,83%,1259.0,,,,,,62.8,56.5,61.5,63.2,63.6,1.1,1.1,1.0,1.04,1.27,1.43,9.06,0.0,,ModelProviders,10/01/2024,72.0,,0.3,118.0,True,epoch list this as qwen2.5 72B instruct,,921312.0,2307091.0,49.14%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FWtALgW6VSFdihDZWXRm2AZ.eval,,,,,,,,,,,,,,,,,,,,,,152848,690057,,,16.0,76424,345028.5,,8.10%,31.10%,,,8.10%,767684,2764.0,,,,,,0.35,0.4,0.077830975,0.36249999999999993
Qwen2.5 72B 11/01/2024,,,Open,131k,,40,72%,49%,4%,28%,27%,74%,86%,16%,83%,1259.0,,,,,,62.8,56.5,61.5,63.2,63.6,1.1,1.1,1.0,1.04,1.27,1.43,9.06,0.0,,ModelProviders,11/01/2024,72.0,,0.3,118.0,True,epoch list this as qwen2.5 72B instruct,,921312.0,2307091.0,49.14%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FWtALgW6VSFdihDZWXRm2AZ.eval,,,,,,,,,,,,,,,,,,,,,,152848,690057,,,16.0,76424,345028.5,,8.10%,31.10%,,,8.10%,767684,2764.0,,,,,,0.13,0.4,0.065162935,0.1975
Qwen2.5 72B 09/01/2025,,,Open,131k,,40,72%,49%,4%,28%,27%,74%,86%,16%,83%,1259.0,,,,,,62.8,56.5,61.5,63.2,63.6,1.1,1.1,1.0,1.04,1.27,1.43,9.06,0.0,,ModelProviders,09/01/2025,72.0,,0.3,118.0,True,epoch list this as qwen2.5 72B instruct,,921312.0,2307091.0,49.14%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FWtALgW6VSFdihDZWXRm2AZ.eval,,,,,,,,,,,,,,,,,,,,,,152848,690057,,,16.0,76424,345028.5,,8.10%,31.10%,,,8.10%,767684,2764.0,,,,,,0.12,0.39,0.063145183125,0.1875
GPT-4.1 nano 04/01/2025,,,Proprietary,1m,,41,66%,51%,4%,33%,26%,95%,85%,24%,,,,,,,,262.8,160.4,220.5,331.5,411.9,0.62,0.62,0.25,0.33,0.89,1.26,2.53,0.0,,ModelProviders,04/01/2025,,,,,,,,412872.0,1688734.0,48.90%,8.0,13440,,,,,,,,,,,,,,,,,,,,,,,,,,,,65376,1179848,,,8.0,65376,1179848,,,,28.90%,,28.90%,1316468,1232.0,flash2.0,,,,,0.1,0.4,0.08959760000000001,0.17500000000000002
Gemma 3 27B 04/01/2025,,,Open,128k,,38,67%,43%,5%,14%,21%,82%,88%,25%,,,,,,,,,,,,,,,,,,,,,,ModelProviders,04/01/2025,27.4,,0.38,78.0,False,27,,404784.0,1281468.0,48.90%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66096,1064187,,,8.0,66096,1064187,,,,19.70%,,19.70%,637006,1292.0,flash2.0,36.97%,,,,0.07,0.07,0.014754705,0.07
