Model,Model Slug,Creator,License,"Context
 Window",Access Date on AA,"Artificial Analysis
 Intelligence Index",MMLU-Pro (Reasoning & Knowledge),GPQA Diamond (Scientific Reasoning),Humanity's Last Exam (Reasoning & Knowledge),LiveCodeBench (Coding),SciCode (Coding),HumanEval (Coding),MATH-500 (Quantitative Reasoning),AIME 2024 (Competition Math),Multilingual Index (Artificial Analysis),Chatbot Arena,IFBench,LCR,Terminal-Bench Hard,___-Bench Telecom,"Blended
 USD/1M Tokens","Median
 Tokens/s","P5
 Tokens/s","P25
 Tokens/s","P75
 Tokens/s","P95
 Tokens/s","Median
 First Chunk (s)","First Answer
 Token (s)","P5
 First Chunk (s)","P25
 First Chunk (s)","P75
 First Chunk (s)","P95
 First Chunk (s)","Total
 Response (s)","Reasoning
 Time (s)",Reasoning_TF,"Further
 Analysis",Release Date,Parameters,Known Active Parameters,Latency,token/s,Chinese,Notes,Unnamed: 49,input_tokens_epoch_gpqa,output_tokens_epoch_gpqa,epoch_gpqa,gpqa_epochs,cache_read_gpqa,cache_output_gpqa,reasoning tokens,gpqa_reasoning_in_output,total_tokens_?,Notes GPQA,inspect log,input tokens swe,output tokens swe,cache reads swe,cache write swe,cache_in_input,cache_in_output,reasoning swe,reasoning_in_output_swe,total,epoch_swe,swe_inspect_log,notes swe,Unnamed: 74,input tokens frontier,output tokens frontier,cache read tokens frontier,cache write tokens frontier,frontier accuracy,cache_read_cost,cache_write_cost,Notes.1,input tokens AIME,output tokens AIME,AIME_reasoning,reasoning_in_output,AIME_epochs,epoch_8_input,epoch_8_output,cache reads AIME,epoch_AIME,epoch_AIME_16,epoch_AIME_nosamp,model_graded_AIME,oneshot_AIME,grader_tokens_input,grader_tokens_output,notes,Inspect Log,HAL/GAIA Generalist Agent,HAL/GAIA Deep Research Scaffold,Unnamed: 105,"Input Price
USD/1M Tokens","Output Price
USD/1M Tokens",Benchmark Cost USD,Blended Price (3:1) USD/1M Tokens
DeepSeek R1 Distill Llama 70B 07/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,07/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.7,0.8,0.6198409,0.7249999999999999
DeepSeek R1 Distill Llama 70B 10/01/2025,,,Open,128k,,48,80%,40%,6%,27%,31%,98%,94%,67%,,,,,,,,101.2,30.2,53.9,313.7,"2,563.70",0.5,20.25,0.19,0.32,0.8,1.81,25.19,19.75,True,ModelProviders,10/01/2025,70.0,,0.16,2551.0,True,70,,413016.0,15855264.0,55.70%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64136,6142290,,,8.0,64136,6142290,,,,51.40%,,51.40%,4622375,1069.0,2,,24.85%,,,0.5,0.8,0.6182375,0.575
Claude 3.5 Sonnet (Oct) 10/01/2024,,,Proprietary,200k,,44,77%,60%,4%,38%,37%,68%,77%,16%,88%,1282.0,,,,,,77.8,66.2,70.8,81.2,82.7,1.0,1.0,0.66,0.76,1.4,3.84,7.43,0.0,,ModelProviders,10/01/2024,,,,,,,,936096.0,1117486.0,55.30%,16.0,,,,,,,,36370.0,1390000.0,99600000.0,9900000.0,False,False,,,,40.60%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FGUbGX7GABSbhxMXiYC5NFr.eval,,,,,,,,0.3,3.75,assume same price ,144848,413730,,,16.0,72424,206865,,8.50%,31.10%,,,8.50%,469110,2758.0,,,,,,3.0,15.0,0.41503087499999997,6.0
Kimi K2 07/01/2025,,Moonshot AI,Open,,,4860.00%,82.40%,76.60%,7.00%,55.60%,17.50%,,97.10%,,,,,,,,,,,,,,,,,,,,,,,,07/01/2025,,,,,,,,431696.0,2397106.0,54.60%,8.0,,,,,,not in newest gpqa dataset?,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fcc9xuQC7QDp2VjwnqGWmn9.eval,301000000.0,2980000.0,0.0,0.0,,,,,,16.40%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FKKdaasPdbUXmehYK7QNLyc.eval,,,,,,,,0.0,0.0,,68120,693591,,,8.0,68120,693591,,,,33.10%,,33.10%,788358,1202.0,gemini 2.0flash,,75.44%,,,0.57,2.3,0.20426096249999998,1.0025
Kimi K2 09/01/2025,,Moonshot AI,Open,,,4860.00%,82.40%,76.60%,7.00%,55.60%,17.50%,,97.10%,,,,,,,,,,,,,,,,,,,,,,,,09/01/2025,,,,,,,,431696.0,2397106.0,54.60%,8.0,,,,,,not in newest gpqa dataset?,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2Fcc9xuQC7QDp2VjwnqGWmn9.eval,301000000.0,2980000.0,0.0,0.0,,,,,,16.40%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FKKdaasPdbUXmehYK7QNLyc.eval,,,,,,,,0.0,0.0,,68120,693591,,,8.0,68120,693591,,,,33.10%,,33.10%,788358,1202.0,gemini 2.0flash,,75.44%,,,0.5,2.0,0.17765525,0.875
Claude 3.5 Sonnet (June) 11/01/2024,,,Proprietary,200k,,,75%,56%,4%,,32%,87%,70%,10%,,1268.0,,,,,,79.4,67.5,76.3,80.8,83.7,0.69,0.69,0.54,0.62,0.92,1.95,6.98,0.0,,ModelProviders,11/01/2024,,,,,,,,936096.0,1332402.0,54.00%,16.0,,,,,,,,34055.0,1940000.0,90200000.0,10100000.0,False,False,,,102000000.0,32%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FH2sQhavY5BPYxyYHva8mgS.eval,,,,,,,,0.3,3.7,assume no chnage in price,144848,398664,,,16.0,72424,199332,,6.50%,31.10%,,,6.50%,459917,2786.0,1.5flash,,,,,3.0,15.0,0.4009065,6.0
Llama 4 Scout 04/01/2025,,,Open,10m,,43,75%,59%,4%,30%,17%,,84%,28%,,,,,,,,125.0,39.0,103.7,604.7,"2,589.00",0.39,0.39,0.22,0.3,0.53,0.8,4.39,0.0,,ModelProviders,04/01/2025,109.0,17.0,,,False,,,400432.0,1485981.0,51.80%,8.0,,,,,,assuming this is scout 17B 16E instruct,,,,,,,,,,,,,,,,,,,,,,,64936,518906,,,8.0,64936,518906,,,,7.80%,,7.80%,600534,1384.0,"2.0flash, I assume this is same as llama 4 Scout 17B 16E",https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FT3X5DeC47iqCaoRYXu5k8L.eval,,,,0.1,0.3,0.020270675,0.15000000000000002
Llama 4 Scout 06/01/2025,,,Open,10m,,43,75%,59%,4%,30%,17%,,84%,28%,,,,,,,,125.0,39.0,103.7,604.7,"2,589.00",0.39,0.39,0.22,0.3,0.53,0.8,4.39,0.0,,ModelProviders,06/01/2025,109.0,17.0,,,False,,,400432.0,1485981.0,51.80%,8.0,,,,,,assuming this is scout 17B 16E instruct,,,,,,,,,,,,,,,,,,,,,,,64936,518906,,,8.0,64936,518906,,,,7.80%,,7.80%,600534,1384.0,"2.0flash, I assume this is same as llama 4 Scout 17B 16E",https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FT3X5DeC47iqCaoRYXu5k8L.eval,,,,0.08,0.1,0.007135685000000001,0.08499999999999999
Llama 3.1 405B 07/01/2024,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,07/01/2024,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,2.7,2.7,0.26391808125,2.7
Llama 3.1 405B 09/01/2024,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,09/01/2024,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,1.79,1.79,0.17496791312499999,1.79
Llama 3.1 405B 11/01/2024,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,11/01/2024,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,1.0,1.79,0.168741133125,1.1975
Llama 3.1 405B 12/01/2024,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,12/01/2024,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,0.9,0.9,0.08797269375,0.9
Llama 3.1 405B 04/01/2025,,,Open,128k,,40,73%,52%,4%,31%,30%,87%,70%,21%,77%,1266.0,,,,,,31.4,11.3,26.1,56.3,168.1,0.83,0.83,0.39,0.55,1.21,2.18,16.78,0.0,,ModelProviders,04/01/2025,405.0,,,,,405,,927168.0,1976614.0,50.92%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,1437847,,,16.0,63056,718923.5,,9.70%,26.70%,,,9.70%,1.63E+06,2740.0,,,,,,0.8,0.8,0.07819795,0.8
o1-preview 09/01/2024,,,Proprietary,128k,,,,,,,,84%,92%,,86%,1334.0,,,,,,156.3,74.4,129.2,166,176.5,21.97,21.97,12.2,15.14,25.99,36.66,25.17,0.0,,ModelProviders,09/01/2024,,,,,,,,859696.0,9599382.0,50.32%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8309,373692,,,8.0,8309,373692,,,,31.10%,,31.10%,45374,152.0,flash2.0,,19.39%,,,15.0,60.0,2.8182693750000003,26.25
GPT-4o (Aug '24) 08/01/2024,,,Proprietary,128k,,,,52%,3%,32%,,42%,80%,12%,87%,1337.0,,,,,,101.2,59.7,78.5,115.3,138.3,0.58,0.58,0.4,0.53,0.65,0.94,5.52,0.0,,ModelProviders,08/01/2024,,,,,,,,825712.0,1860842.0,49.21%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130752,588166,,,16.0,65376,294083,,6.40%,26.70%,,,6.40%,689674,2788.0,,,,,,2.5,10.0,0.38803375,4.375
Qwen2.5 72B 10/01/2024,,,Open,131k,,40,72%,49%,4%,28%,27%,74%,86%,16%,83%,1259.0,,,,,,62.8,56.5,61.5,63.2,63.6,1.1,1.1,1.0,1.04,1.27,1.43,9.06,0.0,,ModelProviders,10/01/2024,72.0,,0.3,118.0,True,epoch list this as qwen2.5 72B instruct,,921312.0,2307091.0,49.14%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FWtALgW6VSFdihDZWXRm2AZ.eval,,,,,,,,,,,,,,,,,,,,,,152848,690057,,,16.0,76424,345028.5,,8.10%,31.10%,,,8.10%,767684,2764.0,,,,,,0.35,0.4,0.020594975,0.36249999999999993
Qwen2.5 72B 11/01/2024,,,Open,131k,,40,72%,49%,4%,28%,27%,74%,86%,16%,83%,1259.0,,,,,,62.8,56.5,61.5,63.2,63.6,1.1,1.1,1.0,1.04,1.27,1.43,9.06,0.0,,ModelProviders,11/01/2024,72.0,,0.3,118.0,True,epoch list this as qwen2.5 72B instruct,,921312.0,2307091.0,49.14%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FWtALgW6VSFdihDZWXRm2AZ.eval,,,,,,,,,,,,,,,,,,,,,,152848,690057,,,16.0,76424,345028.5,,8.10%,31.10%,,,8.10%,767684,2764.0,,,,,,0.13,0.4,0.018493315,0.1975
Qwen2.5 72B 09/01/2025,,,Open,131k,,40,72%,49%,4%,28%,27%,74%,86%,16%,83%,1259.0,,,,,,62.8,56.5,61.5,63.2,63.6,1.1,1.1,1.0,1.04,1.27,1.43,9.06,0.0,,ModelProviders,09/01/2025,72.0,,0.3,118.0,True,epoch list this as qwen2.5 72B instruct,,921312.0,2307091.0,49.14%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FWtALgW6VSFdihDZWXRm2AZ.eval,,,,,,,,,,,,,,,,,,,,,,152848,690057,,,16.0,76424,345028.5,,8.10%,31.10%,,,8.10%,767684,2764.0,,,,,,0.12,0.39,0.017966499374999997,0.1875
GPT-4.1 nano 04/01/2025,,,Proprietary,1m,,41,66%,51%,4%,33%,26%,95%,85%,24%,,,,,,,,262.8,160.4,220.5,331.5,411.9,0.62,0.62,0.25,0.33,0.89,1.26,2.53,0.0,,ModelProviders,04/01/2025,,,,,,,,412872.0,1688734.0,48.90%,8.0,13440,,,,,,,,,,,,,,,,,,,,,,,,,,,,65376,1179848,,,8.0,65376,1179848,,,,28.90%,,28.90%,1316468,1232.0,flash2.0,,,,,0.1,0.4,0.0598096,0.17500000000000002
Gemma 3 27B 04/01/2025,,,Open,128k,,38,67%,43%,5%,14%,21%,82%,88%,25%,,,,,,,,,,,,,,,,,,,,,,ModelProviders,04/01/2025,27.4,,0.38,78.0,False,27,,404784.0,1281468.0,48.90%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66096,1064187,,,8.0,66096,1064187,,,,19.70%,,19.70%,637006,1292.0,flash2.0,36.97%,,,,0.07,0.07,0.009889976250000002,0.07
Magistral Small 06/01/2025,,Mistral,Open,128k,,,74.60%,64.10%,7.20%,51.40%,24.10%,,0.963,0.713,,,,,,,,,,,,,,,,,,,,,True,,06/01/2025,23.6,,0.31,201.0,,On Sheet it is mentioned as GPQA not GPQA diamond Scientific Reasongng,,410520.0,3394051.0,48.40%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66792,1851297,,,8.0,66792,1851297,,,,30.00%,,30.00%,1967375,1224.0,flash2.0,,,,,0.5,1.5,0.35129268750000003,0.75
GPT-4o (Nov '24) 11/01/2024,,,Proprietary,128k,,41,75%,54%,3%,31%,33%,90%,76%,15%,84%,1361.0,,,,,,144.3,62.0,115.8,161.6,185.3,0.56,0.56,0.48,0.51,0.62,0.74,4.02,0.0,,ModelProviders,11/01/2024,,,,,,,,825712.0,2344886.0,47.90%,16.0,,,,,,,,259000000.0,1260000.0,221000000.0,0.0,True,True,,,260000000.0,25.40%,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPazJb6CuZfUTKf6dtz5Z45.eval,,,161698.0,23118.0,,,,1.25,0.0,,130752,687990,,,16.0,65376,343995,,6.30%,26.70%,,,6.30%,,,,,,,,2.5,10.0,0.45042375,4.375
Llama 3.3 70B 12/01/2024,,,Open,128k,,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,,,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,12/01/2024,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151312,806680,,,16.0,,,,5.10%,22.20%,,,5.10%,9.02E+05,2806.0,,,,,,0.13,0.4,0.02139641,0.1975
Llama 3.3 70B 01/01/2025,,,Open,128k,,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,,,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,01/01/2025,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151312,806680,,,16.0,,,,5.10%,22.20%,,,5.10%,9.02E+05,2806.0,,,,,,0.13,0.39,0.020892235000000002,0.195
Llama 3.3 70B 03/01/2025,,,Open,128k,,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,,,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,03/01/2025,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151312,806680,,,16.0,,,,5.10%,22.20%,,,5.10%,9.02E+05,2806.0,,,,,,0.12,0.3,0.01626009,0.16499999999999998
Llama 3.3 70B 10/01/2025,,,Open,128k,,41,71%,50%,4%,29%,26%,,77%,30%,84%,,,,,,,109.5,24.8,39.7,176.6,"1,790.30",0.51,0.51,0.25,0.37,0.63,1.25,5.08,0.0,,ModelProviders,10/01/2025,70.0,,0.17,2385.0,False,70,,927152.0,2560143.0,47.40%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151312,806680,,,16.0,,,,5.10%,22.20%,,,5.10%,9.02E+05,2806.0,,,,,,0.13,0.28,0.015346310000000002,0.1675
Claude 3 Opus 04/01/2024,,,Proprietary,200k,,35,70%,49%,3%,28%,23%,67%,64%,3%,,1248.0,,,,,,28.0,23.7,26.2,29.1,31.3,1.12,1.12,0.97,1.05,1.25,1.9,19.01,0.0,,ModelProviders,04/01/2024,,,,,,,,936096.0,1359057.0,47.16%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,18.75,,144848,460033,,,16.0,72424,230016.5,,4.70%,26.70%,,,4.70%,506685,2812.0,,,,,,15.0,75.0,2.2921996874999997,30.0
GPT-4 Turbo 05/01/2024,,,Proprietary,128k,,,69%,,3%,29%,32%,,74%,15%,,1256.0,,,,,,34.6,18.6,26.2,40.8,52.4,0.71,0.71,0.56,0.63,0.87,1.17,15.17,0.0,,ModelProviders,05/01/2024,,,,,,,,414512.0,898893.0,46.60%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65592,272569,,,8.0,65592,272569,,,,6.70%,,6.70%,,,,,,,,10.0,30.0,1.10412375,15.0
Qwen2.5 Instruct 32B 04/01/2025,,,Open,128k,,37,70%,47%,4%,25%,23%,90%,81%,11%,,,,,,,,,,,,,,,,,,,,,,ModelProviders,04/01/2025,32.0,,0.54,88.0,True,32,,921440.0,1767711.0,46.10%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152848,588275,,,16.0,,,,,,7.40%,,7.40%,662519,2774.0,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FNRCNnCCL5aQKsZf6cKC69Z.eval,,,,0.06,0.2,0.0079266175,0.095
Gemini 1.5 Pro (May) 09/01/2024,,,Proprietary,2m,,34,66%,37%,4%,24%,27%,87%,67%,8%,,1260.0,,,,,,65.1,62.6,63.9,67.7,69.3,0.38,0.38,0.35,0.37,0.41,0.44,8.06,0.0,,ModelProviders,09/01/2024,,,,,,,,809520.0,1090577.0,45.86%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FPKdqpKZ9tqDWyWJ7GksBWz.eval,,,,,,,,,,,,,,,,,,,,,,132192,623624,,,16.0,,,,6.80%,40%,,,6.80%,694184,2782.0,gemini2.0flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2F3S6fjGAMKWKK3zcdxkmh9H.eval,,,,3.5,10.5,0.43817025000000004,5.25
Llama 3.1 70B 07/01/2024,,,Open,128k,,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,,,,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,07/01/2024,70.0,,,,False,70,,927216.0,2138814.0,44.19%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,2683151,,,16.0,63056,1341575.5,,3.60%,17.80%,,,3.60%,3012832,2828.0,1.5,,,,,0.52,0.75,0.12987134312499998,0.5775
Llama 3.1 70B 08/01/2024,,,Open,128k,,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,,,,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,08/01/2024,70.0,,,,False,70,,927216.0,2138814.0,44.19%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,2683151,,,16.0,63056,1341575.5,,3.60%,17.80%,,,3.60%,3012832,2828.0,1.5,,,,,0.35,0.4,0.06983747500000001,0.36249999999999993
Llama 3.1 70B 09/01/2025,,,Open,128k,,35,68%,41%,5%,23%,27%,85%,65%,17%,,1249.0,,,,,,45.1,19.1,31.8,116.3,164.4,0.57,0.57,0.25,0.44,0.78,1.8,11.66,0.0,,ModelProviders,09/01/2025,70.0,,,,False,70,,927216.0,2138814.0,44.19%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126112,2683151,,,16.0,63056,1341575.5,,3.60%,17.80%,,,3.60%,3012832,2828.0,1.5,,,,,0.1,0.28,0.04774334250000001,0.14500000000000002
Claude 3 Sonnet 04/01/2024,,,Proprietary,200k,,28,58%,40%,4%,18%,23%,40%,41%,5%,,1201.0,,,,,,60.1,52.3,58.6,61.7,64.8,0.55,0.55,0.49,0.5,0.6,1.14,8.86,0.0,,ModelProviders,04/01/2024,,,,,,,,936096.0,1469042.0,40.59%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144848,446822,,,16.0,72424,223411,,2.50%,11.10%,,,2.50%,,,,,,,,3.0,15.0,0.446054625,6.0
Llama 3 70B 05/01/2024,,,Open,8k,,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,,,,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,05/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,497151,,,16.0,67016,248575.5,,4.30%,24.40%,,,4.30%,134032,497151.0,1.5flash,,,,,0.59,0.79,0.029489260625,0.64
Llama 3 70B 07/01/2024,,,Open,8k,,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,,,,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,07/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,497151,,,16.0,67016,248575.5,,4.30%,24.40%,,,4.30%,134032,497151.0,1.5flash,,,,,0.52,0.75,0.027659993124999997,0.5775
Llama 3 70B 09/01/2024,,,Open,8k,,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,,,,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,09/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,497151,,,16.0,67016,248575.5,,4.30%,24.40%,,,4.30%,134032,497151.0,1.5flash,,,,,0.35,0.4,0.015360725000000002,0.36249999999999993
Llama 3 70B 12/01/2024,,,Open,8k,,27,57%,38%,4%,20%,19%,72%,48%,0%,,1206.0,,,,,,45.3,18.6,29.7,135,332.8,0.5,0.5,0.24,0.37,0.76,1.4,11.53,0.0,,ModelProviders,12/01/2024,70.0,,0.24,334.0,False,70,,851168.0,990978.0,40.56%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134032,497151,,,16.0,67016,248575.5,,4.30%,24.40%,,,4.30%,134032,497151.0,1.5flash,,,,,0.23,0.4,0.014355485000000001,0.2725
Gemini 1.5 Flash (Sep) 09/01/2024,,,Proprietary,1m,,39,68%,46%,4%,27%,27%,87%,83%,18%,81%,1271.0,,,,,,191.8,179.5,186.9,197.1,202.9,0.22,0.22,0.2,0.21,0.22,0.26,2.83,0.0,,ModelProviders,09/01/2024,,,,,,,,809536.0,1140000.0,40.40%,16.0,,,,,,I Assume that since benchmark is 2025 it uses this version (most recent),,,,,,,,,,,,,,,,,,,,,,,132192,674343,,,16.0,66096,337171.5,,3.90%,22.20%,,,3.90%,744903,2824.0,benchmark done in 2025 so assume 1.5september,,,,,0.07,0.3,0.01322227125,0.1275
Gemini 1.5 Flash (May) 05/01/2024,,,Proprietary,1m,,28,57%,32%,4%,20%,18%,83%,55%,9%,,1227.0,,,,,,308.2,284.9,301.3,324.6,344.2,0.29,0.29,0.26,0.28,0.31,0.38,1.92,0.0,,ModelProviders,05/01/2024,,,,,,epoch does not mention month,,809504.0,1140579.0,40.37%,16.0,,,,,,,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FHc2ycMP6DyCZxCPjKbZFQU.eval,,,,,,,,,,,,,,,,,,,,,,132192,674343,,,16.0,,,,3.90%,22.20%,,,3.90%,744903,2824.0,1.5flash,https://logs.epoch.ai/inspect-viewer/c79c08da/viewer.html?log_file=https%3A%2F%2Flogs.epoch.ai%2Finspect_ai_logs%2FU9GVBhYjRzU55YVjna5mMT.eval,,,,0.07,0.3,0.01322227125,0.1275
Mistral Large (Feb '24) 05/01/2024,,,Proprietary,33k,,26,52%,35%,3%,18%,21%,73%,53%,0%,,1157.0,,,,,,31.4,18.7,30.2,32.1,32.6,0.56,0.56,0.43,0.46,0.66,1.2,16.5,0.0,,ModelProviders,05/01/2024,,,,,,,,928128.0,1152988.0,38.76%,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143152,647403,,,16.0,71576,323701.5,,8.50%,35.60%,,,8.50%,,,assume 2402 correspond to feb 24,,,,,4.0,12.0,0.5213402500000001,6.0
Claude 3.5 Haiku 10/01/2024,,,Proprietary,200k,,35,63%,41%,4%,31%,27%,44%,72%,3%,78%,,,,,,,65.7,58.1,62.5,67.4,69.4,6.15,6.15,2.33,4.32,7.7,10.23,13.76,0.0,,ModelProviders,10/01/2024,,,,,,,,468048.0,461011.0,38.10%,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144848,388342,,,16.0,72424,194171,,4.30%,26.70%,,,4.30%,441350,2818.0,1.5flash,,,,,0.8,4.0,0.1043279,1.6
